episode,robot_pos,target_pos,step
218,"[403.81752208517037, 453.6222233282098, 294.0]","[394, 457]",758
219,"[439.5952482931106, 267.8933620660047, 186.0]","[446, 276]",468
220,"[509.9533039858539, 380.83623746727733, 32.0]","[508, 371]",391
221,"[479.5314073190231, 426.8076201834699, 226.0]","[479, 437]",652
222,"[531.4710069568005, 276.98209087759085, 260.0]","[525, 285]",523
223,"[629.1926588308302, 162.42866728493118, 152.0]","[639, 166]",949
224,"[257.1311837385964, 387.10878278125836, 36.0]","[256, 377]",521
225,"[439.82526857852287, 192.97240514954785, 294.0]","[430, 196]",66
226,"[650.4231378656744, 342.7924429353224, 166.0]","[659, 348]",1052
227,"[282.4689698824585, 421.8214990844877, 184.0]","[289, 430]",211
228,"[637.8737276481565, 166.2777957787214, 130.0]","[648, 166]",106
229,"[441.1789044889078, 356.97771038308844, 208.0]","[444, 367]",113
230,"[276.76883090637676, 115.3619457600142, 334.0]","[267, 112]",200
231,"[444.9890524035625, 325.3107106859267, 206.0]","[448, 335]",574
232,"[177.30052049382783, 411.83804115584115, 314.0]","[167, 412]",916
233,"[695.679241202616, 345.98813727781766, 172.0]","[704, 352]",969
234,"[200.10262936354502, 243.1309653926756, 318.0]","[190, 242]",626
235,"[470.51141580428424, 481.93100693644914, 196.0]","[475, 491]",453
236,"[176.97202815744737, 501.4421174329303, 320.0]","[167, 500]",1247
237,"[93.14091143535327, 522.2804288755201, 326.0]","[83, 520]",614
238,"[697.0843791268078, 281.39598470179345, 98.0]","[705, 275]",526
239,"[334.50589748114413, 127.2996766914773, 116.0]","[344, 124]",839
240,"[115.26858084901924, 148.75231060269488, 24.0]","[112, 139]",677
241,"[147.7458237739351, 475.8201507932787, 332.0]","[138, 473]",1235
242,"[264.46767023793313, 378.7700966999294, 294.0]","[255, 382]",226
243,"[385.9533825243917, 534.4374305368426, 244.0]","[383, 544]",967
244,"[517.9613943002273, 229.07756469769166, 54.0]","[520, 219]",860
245,"[153.7301770060302, 455.33664856068015, 10.0]","[148, 447]",1272
246,"[353.79239816293824, 390.8437646130653, 228.0]","[353, 401]",403
247,"[287.46595349822246, 151.2038383866275, 34.0]","[286, 141]",1002
248,"[289.82101990959814, 58.562981710972124, 134.0]","[300, 59]",818
249,"[365.6265837517259, 148.16832764392166, 92.0]","[373, 141]",901
250,"[98.14316423691297, 434.82910546019025, 16.0]","[93, 426]",261
